round_epochs,loss,max_absolute_error,val_loss,val_max_absolute_error,d_k,d_v,ff_dim,n_heads,sample_lenght
1,0.03810227214090614,1.0139664,0.0016044990005481795,0.27682698,121,46,217,1,144
1,0.046977622414890396,1.035537,0.007493994157422818,0.24945779,121,46,218,1,144
1,0.036912543210380615,0.98959357,0.0015486095949995729,0.26122838,121,46,219,1,144
1,0.04357435275769682,1.0141155,0.007436175887680642,0.27969337,121,47,217,1,144
1,0.031938487674366974,0.9861537,0.0074000346789979896,0.25521266,121,47,218,1,144
1,0.04327442604096543,1.0171633,0.002567605405621702,0.22260615,121,47,219,1,144
1,0.038897946151181924,1.0044874,0.0022540677634974937,0.2288583,121,48,217,1,144
1,0.03752129241916475,1.0065688,0.003430191571778345,0.25645757,121,48,218,1,144
1,0.042254428300915234,1.0326487,0.0096683750764187,0.2872315,121,48,219,1,144
1,0.04093784947568925,1.0262469,0.001743310859164984,0.2642119,121,49,217,1,144
1,0.037895625698626006,1.0044167,0.001838364530605433,0.2631019,121,49,218,1,144
1,0.042032556814009886,1.0092098,0.008567088157718847,0.25182706,121,49,219,1,144
1,0.03444368321367773,1.0082062,0.04453002642251999,0.44460136,121,50,217,1,144
1,0.034892598371170286,0.9977267,0.0008986268065385983,0.25913823,121,50,218,1,144
1,0.04450916998057368,1.0288343,0.0038396433082421577,0.24201906,121,50,219,1,144
1,0.04114264704600992,1.0102869,0.006023073806062156,0.2387497,121,51,217,1,144
1,0.03602896962904576,1.0033485,0.0020910691023673976,0.25110957,121,51,218,1,144
1,0.037536902341649095,0.99787265,0.002336756259758903,0.2626192,121,51,219,1,144
1,0.03863294457841641,1.0073301,0.0048492067329961325,0.27082634,121,52,217,1,144
1,0.03602280755298516,1.0026087,0.010487908857659939,0.23849331,121,52,218,1,144
1,0.04399638402515011,1.0238101,0.0012393007391579647,0.2596065,121,52,219,1,144
1,0.03450354327105944,1.0084181,0.0008991511090461536,0.27113137,122,46,217,1,144
1,0.043832333539904025,1.0130637,0.00132274104884446,0.28959456,122,46,218,1,144
1,0.042582742636343165,1.022189,0.0013842744354600682,0.24065225,122,46,219,1,144
1,0.04263868900471808,1.0025588,0.0014836360185266984,0.28377396,122,47,217,1,144
1,0.037993204445459484,1.0112809,0.002401024357884524,0.25816527,122,47,218,1,144
1,0.033259888384034014,0.99935925,0.006704950632583624,0.29608902,122,47,219,1,144
1,0.0348623655323764,0.99439913,0.0008914399302480331,0.2848584,122,48,217,1,144
1,0.041708277585468405,1.0247144,0.01104556188636153,0.29048938,122,48,218,1,144
1,0.03637123310951075,0.99220365,0.0012561251209887254,0.2574935,122,48,219,1,144
1,0.03882915195011356,1.0128901,0.0007795868545752283,0.2791298,122,49,217,1,144
1,0.04419336807993332,1.0269848,0.0008138588489844846,0.24625057,122,49,218,1,144
1,0.03290230990724624,0.9965606,0.004139038054208661,0.25464448,122,49,219,1,144
1,0.03951066091145349,1.0126134,0.006749200208850044,0.26126608,122,50,217,1,144
1,0.03903971341808446,0.99982125,0.0050591542770076665,0.25086474,122,50,218,1,144
1,0.04034334499849907,1.0069398,0.0015745743109202852,0.25764045,122,50,219,1,144
1,0.043611415453596945,1.020027,0.0008806392712491826,0.2845415,122,51,217,1,144
1,0.03317618681559644,0.99287677,0.011151445692889195,0.3104938,122,51,218,1,144
1,0.04622751793762064,1.036611,0.05368664578308053,0.42112848,122,51,219,1,144
1,0.036094025361540605,1.003291,0.0044305988929150214,0.22936693,122,52,217,1,144
1,0.04119703277448229,1.0055785,0.0010361513544233567,0.29203677,122,52,218,1,144
1,0.03446695371309896,0.9939528,0.0008045440690380624,0.2675745,122,52,219,1,144
1,0.032016622606961864,0.9908554,0.002885154446919363,0.24975736,123,46,217,1,144
1,0.04517564226317879,1.0114696,0.0030051297830197663,0.25754884,123,46,218,1,144
1,0.0411037399796968,1.0223807,0.011026780638119368,0.2535848,123,46,219,1,144
1,0.038909672063827734,1.0090803,0.001000684209598822,0.2473007,123,47,217,1,144
1,0.0404741280073779,1.01541,0.003471753894232862,0.25536725,123,47,218,1,144
1,0.038019119904045974,1.0126573,0.0017410026385713273,0.2359884,123,47,219,1,144
1,0.040308455636236765,1.0132959,0.0008393267759006587,0.26003093,123,48,217,1,144
1,0.03436072762603904,0.99498975,0.0030042449097427313,0.25368842,123,48,218,1,144
1,0.04207269301553667,1.0258745,0.004325772349216104,0.25674143,123,48,219,1,144
1,0.04160173181724383,1.0158432,0.0023967619417952475,0.24867977,123,49,217,1,144
1,0.04181543064063835,0.9904698,0.0023063985588422102,0.24090827,123,49,218,1,144
1,0.037096742671292995,1.0058509,0.0014347112092396672,0.28081867,123,49,219,1,144
1,0.03155576299363308,0.99194235,0.006191404775218302,0.25171515,123,50,217,1,144
1,0.04222124572681552,1.0112883,0.0093882303961193,0.24962048,123,50,218,1,144
1,0.03873873163276425,0.9994873,0.0013940584680540821,0.23317584,123,50,219,1,144
1,0.041070259854022906,1.0280304,0.0010983586049168835,0.26169738,123,51,217,1,144
1,0.03864872450659817,1.0043949,0.001111975593419469,0.24917239,123,51,218,1,144
1,0.03234029856644098,0.9962743,0.005502504938041092,0.23819086,123,51,219,1,144
1,0.034948373267756995,0.9880031,0.0008274117230418003,0.24959593,123,52,217,1,144
1,0.038874092268008545,0.98942924,0.03338573983061278,0.3748208,123,52,218,1,144
1,0.03989596455193103,1.010781,0.0012440005559874756,0.24837214,123,52,219,1,144
