round_epochs,val_loss,val_max_absolute_error,loss,max_absolute_error,memory,sample_lenght
5,0.005428143317945187,0.17505614459514618,0.01851705677583291,2.901952,8,144
5,0.016589923745418025,0.208923801779747,0.01757063402567807,2.8767996,16,144
5,0.008361111230126835,0.16338036954402924,0.010209623488441696,2.8071234,32,144
5,0.031349800317917474,0.2769163250923157,0.016959022421498528,2.7571352,64,144
5,0.03704221037063859,0.30624404549598694,0.010839476457029913,2.8449383,128,144
5,0.05414138184622162,0.3112453520298004,0.01512845920610747,2.916434,256,144
